kode,nama_perusahaan,tanggal_pencatatan,jumlah_saham,papan_pencatatan,sektor,ticker_yf
KOBX,Kobexindo Tractors Tbk.,2012-07-05,2272500000.0,Pengembangan,Industrials,KOBX.JK
KOCI,Kokoh Exa Nusantara Tbk.,2023-10-07,4415591800.0,Pengembangan,Properties & Real Estate,KOCI.JK
KOIN,Kokoh Inti Arebama Tbk,2008-04-09,980843732.0,Pemantauan Khusus,Industrials,KOIN.JK
KOKA,Koka Indonesia Tbk.,2023-10-11,2861333000.0,Pengembangan,Infrastructure,KOKA.JK
KONI,Perdana Bangun Pusaka Tbk,1995-08-22,312000000.0,Pemantauan Khusus,Industrials,KONI.JK
KOPI,Mitra Energi Persada Tbk.,2015-05-04,697266668.0,Pengembangan,Energy,KOPI.JK
KOTA,DMS Propertindo Tbk.,2019-07-09,10546185701.0,Pemantauan Khusus,Consumer Cyclicals,KOTA.JK
KPAL,Steadfast Marine Tbk.,2018-06-08,1069009400.0,Pemantauan Khusus,Industrials,KPAL.JK
KPAS,Cottonindo Ariesta Tbk.,2018-10-05,768043253.0,Pemantauan Khusus,Consumer Non-Cyclicals,KPAS.JK
KPIG,MNC Land Tbk.,2000-03-30,97557129263.0,Pengembangan,Consumer Cyclicals,KPIG.JK
KRAH,Grand Kartech Tbk.,2013-11-08,971190000.0,Pemantauan Khusus,Industrials,KRAH.JK
KRAS,Krakatau Steel (Persero) Tbk.,2010-11-10,19346396900.0,Pengembangan,Basic Materials,KRAS.JK
KREN,Quantum Clovera Investama Tbk.,2002-06-28,18208470100.0,Pemantauan Khusus,Technology,KREN.JK
KRYA,Bangun Karya Perkasa Jaya Tbk.,2022-07-25,1663943474.0,Pengembangan,Infrastructure,KRYA.JK
KUAS,Ace Oldfields Tbk.,2021-10-25,1292808150.0,Pengembangan,Industrials,KUAS.JK
LABA,Green Power Group Tbk.,2021-06-10,1103402553.0,Pengembangan,Industrials,LABA.JK
LABS,UBC Medical Indonesia Tbk.,2024-07-10,3950000000.0,Pengembangan,Healthcare,LABS.JK
LAJU,Jasa Berdikari Logistics Tbk.,2023-01-27,2149942974.0,Pengembangan,Transportation & Logistics,LAJU.JK
LAND,Trimitra Propertindo Tbk.,2018-08-23,2792620000.0,Pemantauan Khusus,Properties & Real Estate,LAND.JK
LAPD,Leyand International Tbk.,2001-07-17,3966350139.0,Pemantauan Khusus,Consumer Non-Cyclicals,LAPD.JK
LCGP,Eureka Prima Jakarta Tbk.,2007-07-13,5630000914.0,Pemantauan Khusus,Properties & Real Estate,LCGP.JK
LCKM,LCK Global Kedaton Tbk.,2018-01-16,1000000000.0,Pengembangan,Infrastructure,LCKM.JK
LEAD,Logindo Samudramakmur Tbk.,2013-12-11,5799616328.0,Pengembangan,Energy,LEAD.JK
LFLO,Imago Mulia Persada Tbk.,2021-04-07,1307734937.0,Akselerasi,Consumer Cyclicals,LFLO.JK
LIFE,MSIG Life Insurance Indonesia,2019-07-09,2100000000.0,Pengembangan,Financials,LIFE.JK
LINK,Link Net Tbk.,2014-06-02,2863195484.0,Pengembangan,Infrastructure,LINK.JK
LION,Lion Metal Works Tbk.,1993-08-20,520160000.0,Pemantauan Khusus,Industrials,LION.JK
LIVE,Homeco Victoria Makmur Tbk.,2024-02-12,4593005014.0,Pengembangan,Consumer Cyclicals,LIVE.JK
LMAS,Limas Indonesia Makmur Tbk,2001-12-28,787851525.0,Pemantauan Khusus,Technology,LMAS.JK
LMAX,Lupromax Pelumas Indonesia Tbk,2023-08-09,650008775.0,Akselerasi,Consumer Cyclicals,LMAX.JK
LMPI,Langgeng Makmur Industri Tbk.,1994-10-17,1008517669.0,Pengembangan,Consumer Cyclicals,LMPI.JK
LMSH,Lionmesh Prima Tbk.,1990-06-04,96000000.0,Pemantauan Khusus,Basic Materials,LMSH.JK
LOPI,Logisticsplus International Tb,2023-10-11,1100011289.0,Akselerasi,Transportation & Logistics,LOPI.JK
LPCK,Lippo Cikarang Tbk,1997-07-24,2679600000.0,Utama,Properties & Real Estate,LPCK.JK
LPGI,Lippo General Insurance Tbk.,1997-07-22,3000000000.0,Pemantauan Khusus,Financials,LPGI.JK
LPIN,Multi Prima Sejahtera Tbk,1990-02-05,425000000.0,Pengembangan,Consumer Cyclicals,LPIN.JK
LPKR,Lippo Karawaci Tbk.,1996-06-28,70898018369.0,Utama,Properties & Real Estate,LPKR.JK
LPLI,Star Pacific Tbk,1989-10-23,1170432803.0,Pengembangan,Properties & Real Estate,LPLI.JK
LPPF,MDS Retailing Tbk,1989-10-09,2259292880.0,Utama,Consumer Cyclicals,LPPF.JK
LPPS,Lenox Pasifik Investama Tbk.,1994-03-28,2588250000.0,Pengembangan,Financials,LPPS.JK
LRNA,Eka Sari Lorena Transport Tbk.,2014-04-15,350000022.0,Pengembangan,Transportation & Logistics,LRNA.JK
LSIP,PP London Sumatra Indonesia Tb,1996-07-05,6819963965.0,Utama,Consumer Non-Cyclicals,LSIP.JK
LTLS,Lautan Luas Tbk.,1997-07-21,1560000000.0,Utama,Basic Materials,LTLS.JK
LUCK,Sentral Mitra Informatika Tbk.,2018-11-28,715749640.0,Pengembangan,Technology,LUCK.JK
LUCY,Lima Dua Lima Tiga Tbk.,2021-05-05,1514773893.0,Akselerasi,Consumer Cyclicals,LUCY.JK
MABA,Marga Abhinaya Abadi Tbk.,2017-06-22,15365229912.0,Pemantauan Khusus,Consumer Cyclicals,MABA.JK
MAGP,Multi Agro Gemilang Plantation,2013-01-16,9000000004.0,Pemantauan Khusus,Consumer Non-Cyclicals,MAGP.JK
MAHA,Mandiri Herindo Adiperkasa Tbk,2023-07-25,16666000000.0,Utama,Energy,MAHA.JK
MAIN,Malindo Feedmill Tbk.,2006-02-10,2238750000.0,Utama,Consumer Non-Cyclicals,MAIN.JK
MAMI,Mas Murni Indonesia Tbk,1994-02-09,12299317590.0,Pemantauan Khusus,Consumer Cyclicals,MAMI.JK
MANG,Manggung Polahraya Tbk.,2024-01-11,3812500000.0,Akselerasi,Infrastructure,MANG.JK
MAPA,Map Aktif Adiperkasa Tbk.,2018-07-05,28504000000.0,Utama,Consumer Cyclicals,MAPA.JK
MAPB,MAP Boga Adiperkasa Tbk.,2017-06-21,2387922900.0,Pemantauan Khusus,Consumer Cyclicals,MAPB.JK
MAPI,Mitra Adiperkasa Tbk.,2004-11-10,16600000000.0,Utama,Consumer Cyclicals,MAPI.JK
MARI,Mahaka Radio Integra Tbk.,2016-02-11,5252644000.0,Pengembangan,Consumer Cyclicals,MARI.JK
MARK,Mark Dynamics Indonesia Tbk.,2017-07-12,3800000310.0,Utama,Industrials,MARK.JK
MASA,Multistrada Arah Sarana Tbk.,2005-06-09,9182946945.0,Utama,Consumer Cyclicals,MASA.JK
MASB,Bank Multiarta Sentosa Tbk.,2021-06-30,1387737233.0,Pengembangan,Financials,MASB.JK
MAXI,Maxindo Karya Anugerah Tbk.,2023-06-12,9610063102.0,Pengembangan,Consumer Non-Cyclicals,MAXI.JK
MAYA,Bank Mayapada Internasional Tb,1997-08-29,25906179152.0,Utama,Financials,MAYA.JK
MBAP,Mitrabara Adiperdana Tbk.,2014-07-10,1227271952.0,Pengembangan,Energy,MBAP.JK
MBMA,Merdeka Battery Materials Tbk.,2023-04-18,107995419900.0,Pengembangan,Basic Materials,MBMA.JK
MBSS,Mitrabahtera Segara Sejati Tbk,2011-04-06,1750026639.0,Utama,Energy,MBSS.JK
MBTO,Martina Berto Tbk.,2011-01-13,1070000000.0,Pengembangan,Consumer Non-Cyclicals,MBTO.JK
MCAS,M Cash Integrasi Tbk.,2017-11-01,867933300.0,Utama,Technology,MCAS.JK
MCOL,Prima Andalan Mandiri Tbk.,2021-09-07,3555560000.0,Utama,Energy,MCOL.JK
MCOR,Bank China Construction Bank I,2007-07-03,37540533209.0,Utama,Financials,MCOR.JK
MDIA,Intermedia Capital Tbk.,2014-04-11,39215538400.0,Pemantauan Khusus,Consumer Cyclicals,MDIA.JK
MDKA,Merdeka Copper Gold Tbk.,2015-06-19,24472983771.0,Utama,Basic Materials,MDKA.JK
MDKI,Emdeki Utama Tbk.,2017-09-25,2530150002.0,Pengembangan,Basic Materials,MDKI.JK
MDLN,Modernland Realty Tbk.,1993-01-18,12533067322.0,Utama,Properties & Real Estate,MDLN.JK
MDRN,Modern Internasional Tbk.,1991-07-16,7632167798.0,Pemantauan Khusus,Industrials,MDRN.JK
MEDC,Medco Energi Internasional Tbk,1994-10-12,25136231252.0,Utama,Energy,MEDC.JK
MEDS,Hetzer Medical Indonesia Tbk.,2022-08-10,1562500000.0,Pengembangan,Healthcare,MEDS.JK
MEGA,Bank Mega Tbk.,2000-04-17,11623514905.0,Utama,Financials,MEGA.JK
MEJA,Harta Djaya Karya Tbk.,2024-02-12,1917500000.0,Akselerasi,Consumer Cyclicals,MEJA.JK
MENN,Menn Teknologi Indonesia Tbk.,2023-04-18,1434052006.0,Akselerasi,Technology,MENN.JK
MERK,Merck Tbk.,1981-07-23,448000000.0,Pengembangan,Healthcare,MERK.JK
META,Nusantara Infrastructure Tbk.,2001-07-18,17710708194.0,Pemantauan Khusus,Infrastructure,META.JK
MFIN,Mandala Multifinance Tbk.,2005-09-06,2650000000.0,Utama,Financials,MFIN.JK
MFMI,Multifiling Mitra Indonesia Tb,2010-12-29,757581000.0,Pemantauan Khusus,Industrials,MFMI.JK
MGLV,Panca Anugrah Wisesa Tbk.,2021-06-08,1904883411.0,Akselerasi,Consumer Cyclicals,MGLV.JK
MGNA,Magna Investama Mandiri Tbk.,2014-07-08,3410477164.0,Pemantauan Khusus,Consumer Cyclicals,MGNA.JK
MGRO,Mahkota Group Tbk.,2018-07-12,3554445700.0,Pengembangan,Consumer Non-Cyclicals,MGRO.JK
MHKI,Multi Hanna Kreasindo Tbk.,2024-04-16,3750000000.0,Pengembangan,Industrials,MHKI.JK
MICE,Multi Indocitra Tbk.,2005-12-21,600000000.0,Pengembangan,Consumer Cyclicals,MICE.JK
MIDI,Midi Utama Indonesia Tbk.,2010-11-30,33435294800.0,Utama,Consumer Non-Cyclicals,MIDI.JK
MIKA,Mitra Keluarga Karyasehat Tbk.,2015-03-24,13907481500.0,Utama,Healthcare,MIKA.JK
MINA,Sanurhasta Mitra Tbk.,2017-04-28,6562500000.0,Pemantauan Khusus,Consumer Cyclicals,MINA.JK
MIRA,Mitra International Resources,1997-01-30,3961452039.0,Pemantauan Khusus,Transportation & Logistics,MIRA.JK
MITI,Mitra Investindo Tbk.,1997-07-16,3540735503.0,Pengembangan,Transportation & Logistics,MITI.JK
MKAP,Multikarya Asia Pasifik Raya T,2024-02-12,3250000000.0,Pengembangan,Energy,MKAP.JK
MKNT,Mitra Komunikasi Nusantara Tbk,2015-10-26,5500000000.0,Pemantauan Khusus,Consumer Cyclicals,MKNT.JK
MKPI,Metropolitan Kentjana Tbk.,2009-07-10,948194000.0,Pengembangan,Properties & Real Estate,MKPI.JK
MKTR,Menthobi Karyatama Raya Tbk.,2022-11-08,12052390422.0,Utama,Consumer Non-Cyclicals,MKTR.JK
MLPT,Multipolar Technology Tbk.,2013-07-08,1875000000.0,Pengembangan,Technology,MLPT.JK
MLBI,Multi Bintang Indonesia Tbk.,1981-12-15,2107000000.0,Utama,Consumer Non-Cyclicals,MLBI.JK
MLIA,Mulia Industrindo Tbk,1994-01-17,6615000000.0,Utama,Industrials,MLIA.JK
MLPL,Multipolar Tbk.,1989-11-06,15682323987.0,Utama,Consumer Non-Cyclicals,MLPL.JK
MMIX,Multi Medika Internasional Tbk,2022-12-06,2400206168.0,Pengembangan,Healthcare,MMIX.JK
MMLP,Mega Manunggal Property Tbk.,2015-06-12,6889134608.0,Utama,Properties & Real Estate,MMLP.JK
MNCN,Media Nusantara Citra Tbk.,2007-06-22,15049787710.0,Utama,Consumer Cyclicals,MNCN.JK
MOLI,Madusari Murni Indah Tbk.,2018-08-30,2724036581.0,Pengembangan,Basic Materials,MOLI.JK
MORA,Ekamas Mora Republik Tbk,2022-08-08,23646668691.0,Utama,Infrastructure,MORA.JK
PTMP,Mitra Pack Tbk.,2023-03-06,3169200000.0,Pengembangan,Industrials,PTMP.JK
MPIX,Mitra Pedagang Indonesia Tbk.,2024-02-07,1562500000.0,Pengembangan,Technology,MPIX.JK
MPMX,Mitra Pinasthika Mustika Tbk.,2013-05-29,4462963276.0,Utama,Consumer Cyclicals,MPMX.JK
MPOW,Megapower Makmur Tbk.,2017-07-05,816997053.0,Pengembangan,Infrastructure,MPOW.JK
MPPA,Matahari Putra Prima Tbk.,1992-12-21,12966640084.0,Utama,Consumer Non-Cyclicals,MPPA.JK
MPRO,Maha Properti Indonesia Tbk.,2018-10-09,9942500000.0,Pengembangan,Properties & Real Estate,MPRO.JK
MPXL,MPX Logistics International Tb,2023-05-09,2000014587.0,Pengembangan,Transportation & Logistics,MPXL.JK
PTMR,Master Print Tbk.,2024-10-08,1907000000.0,Pengembangan,Basic Materials,PTMR.JK
MRAT,Mustika Ratu Tbk.,1995-07-27,428000000.0,Pengembangan,Consumer Non-Cyclicals,MRAT.JK
MREI,Maskapai Reasuransi Indonesia,1989-09-04,517791681.0,Pengembangan,Financials,MREI.JK
MSIE,Multisarana Intan Eduka Tbk.,2023-08-10,1460007754.0,Akselerasi,Properties & Real Estate,MSIE.JK
MSIN,MNC Digital Entertainment Tbk.,2018-06-08,60676178205.0,Utama,Consumer Cyclicals,MSIN.JK
MSJA,Multi Spunindo Jaya Tbk.,2024-01-10,5882352900.0,Utama,Consumer Non-Cyclicals,MSJA.JK
MSKY,MNC Sky Vision Tbk.,2012-07-09,1994370480.0,Pengembangan,Consumer Cyclicals,MSKY.JK
MSTI,Mastersystem Infotama Tbk.,2023-11-08,3138878900.0,Utama,Technology,MSTI.JK
MTDL,Metrodata Electronics Tbk.,1990-04-09,12276884585.0,Utama,Technology,MTDL.JK
MTEL,Dayamitra Telekomunikasi Tbk.,2021-11-22,83555225944.0,Utama,Infrastructure,MTEL.JK
MTFN,Capitalinc Investment Tbk.,1990-04-16,31842082852.0,Pemantauan Khusus,Energy,MTFN.JK
MTLA,Metropolitan Land Tbk.,2011-06-20,7655126330.0,Utama,Properties & Real Estate,MTLA.JK
MTMH,Murni Sadar Tbk.,2022-04-20,2068526950.0,Utama,Healthcare,MTMH.JK
MTPS,Meta Epsi Tbk.,2019-04-10,2084850829.0,Pemantauan Khusus,Infrastructure,MTPS.JK
MTRA,Mitra Pemuda Tbk.,2016-02-10,770000000.0,Pemantauan Khusus,Infrastructure,MTRA.JK
MTSM,Metro Realty Tbk.,1992-01-08,232848000.0,Pemantauan Khusus,Properties & Real Estate,MTSM.JK
MTWI,Malacca Trust Wuwungan Insuran,2017-10-12,2924486639.0,Pengembangan,Financials,MTWI.JK
MUTU,Mutuagung Lestari Tbk.,2023-08-09,3142881188.0,Pengembangan,Industrials,MUTU.JK
MYOH,Samindo Resources Tbk.,2000-07-27,2206312500.0,Utama,Energy,MYOH.JK
MYOR,Mayora Indah Tbk.,1990-07-04,22358699725.0,Utama,Consumer Non-Cyclicals,MYOR.JK
MYRX,Hanson International Tbk.,1990-10-31,86703220792.0,Pemantauan Khusus,Properties & Real Estate,MYRX.JK
MYTX,Asia Pacific Investama Tbk.,1989-10-10,7747281949.0,Pemantauan Khusus,Consumer Cyclicals,MYTX.JK
NAIK,Adiwarna Anugerah Abadi Tbk.,2024-11-13,3250000000.0,Pengembangan,Industrials,NAIK.JK
NANO,Nanotech Indonesia Global Tbk.,2022-03-10,4285228063.0,Akselerasi,Consumer Non-Cyclicals,NANO.JK
NASA,Andalan Perkasa Abadi Tbk.,2017-08-07,11004929322.0,Pemantauan Khusus,Properties & Real Estate,NASA.JK
NASI,Wahana Inti Makmur Tbk.,2021-12-13,807400000.0,Pengembangan,Consumer Non-Cyclicals,NASI.JK
NATO,Olympus Strategic Indonesia Tbk,2019-01-18,8001111504.0,Pengembangan,Consumer Cyclicals,NATO.JK
NAYZ,Hassana Boga Sejahtera Tbk.,2023-02-06,2550011472.0,Akselerasi,Consumer Non-Cyclicals,NAYZ.JK
NCKL,Trimegah Bangun Persada Tbk.,2023-04-12,63098600000.0,Utama,Basic Materials,NCKL.JK
NELY,Pelayaran Nelly Dwi Putri Tbk.,2012-10-11,2350000000.0,Pengembangan,Transportation & Logistics,NELY.JK
NEST,Esta Indonesia Tbk.,2024-08-08,4112500000.0,Pengembangan,Consumer Non-Cyclicals,NEST.JK
NETV,MDTV Media Technologies Tbk,2022-01-26,41360517722.0,Pemantauan Khusus,Consumer Cyclicals,NETV.JK
NFCX,NFC Indonesia Tbk.,2018-07-12,666667500.0,Pengembangan,Technology,NFCX.JK
NICE,Adhi Kartiko Pratama Tbk.,2024-01-09,6082020000.0,Pengembangan,Basic Materials,NICE.JK
NICK,Charnic Capital Tbk.,2018-05-02,651150000.0,Pengembangan,Financials,NICK.JK
NICL,PAM Mineral Tbk.,2021-07-09,10635644907.0,Pengembangan,Basic Materials,NICL.JK
NIKL,Pelat Timah Nusantara Tbk.,2009-12-14,2523350000.0,Pengembangan,Basic Materials,NIKL.JK
NINE,Techno9 Indonesia Tbk.,2022-12-05,2157000000.0,Akselerasi,Technology,NINE.JK
NIPS,Nipress Tbk.,1991-07-24,1635333332.0,Pemantauan Khusus,Consumer Cyclicals,NIPS.JK
NIRO,City Retail Developments Tbk.,2012-09-13,22198871804.0,Pengembangan,Properties & Real Estate,NIRO.JK
NISP,Bank OCBC NISP Tbk.,1994-10-20,22715776032.0,Utama,Financials,NISP.JK
NOBU,Bank Nationalnobu Tbk.,2013-05-20,7403659460.0,Pengembangan,Financials,NOBU.JK
NPGF,Nusa Palapa Gemilang Tbk.,2021-04-14,3240235840.0,Pemantauan Khusus,Basic Materials,NPGF.JK
NRCA,Nusa Raya Cia Tbk.,2013-06-27,2496258344.0,Pengembangan,Infrastructure,NRCA.JK
NSSS,Nusantara Sawit Sejahtera Tbk.,2023-03-10,23801568645.0,Pengembangan,Consumer Non-Cyclicals,NSSS.JK
NTBK,Nusatama Berkah Tbk.,2022-02-09,2700064877.0,Pengembangan,Industrials,NTBK.JK
NUSA,Sinergi Megah Internusa Tbk.,2018-07-12,7700000148.0,Pemantauan Khusus,Consumer Cyclicals,NUSA.JK
NZIA,Nusantara Almazia Tbk.,2019-09-25,2197540705.0,Pengembangan,Properties & Real Estate,NZIA.JK
OASA,Maharaksa Biru Energi Tbk.,2016-07-18,6347220000.0,Pengembangan,Infrastructure,OASA.JK
OBMD,OBM Drilchem Tbk.,2021-12-08,805992931.0,Pengembangan,Basic Materials,OBMD.JK
OCAP,Onix Capital Tbk.,2003-10-10,273200000.0,Pemantauan Khusus,Financials,OCAP.JK
OILS,Indo Oil Perkasa Tbk.,2021-09-06,454056563.0,Pengembangan,Consumer Non-Cyclicals,OILS.JK
OKAS,Ancora Indonesia Resources Tbk,2006-03-29,2373449165.0,Pengembangan,Basic Materials,OKAS.JK
OLIV,Oscar Mitra Sukses Sejahtera T,2022-05-17,1900073314.0,Akselerasi,Consumer Cyclicals,OLIV.JK
OMED,Jayamas Medica Industri Tbk.,2022-11-08,27058850000.0,Utama,Healthcare,OMED.JK
OMRE,Indonesia Prima Property Tbk,1994-08-22,2945211000.0,Pemantauan Khusus,Properties & Real Estate,OMRE.JK
OPMS,Oima Prima Metal Sinergi Tbk,2019-09-23,1000000000.0,Pengembangan,Basic Materials,OPMS.JK
PACK,Abadi Nusantara Hijau Investama Tbk,2023-02-08,1539143058.0,Pemantauan Khusus,Basic Materials,PACK.JK
PADA,Personel Alih Daya Tbk.,2022-12-08,3150000000.0,Pemantauan Khusus,Industrials,PADA.JK
PADI,Minna Padi Investama Sekuritas,2012-01-09,11307246524.0,Pemantauan Khusus,Financials,PADI.JK
PALM,Provident Investasi Bersama Tb,2012-10-08,15773797158.0,Pengembangan,Financials,PALM.JK
PAMG,Bima Sakti Pertiwi Tbk.,2019-07-05,3125000000.0,Pengembangan,Properties & Real Estate,PAMG.JK
PANI,Pantai Indah Kapuk Dua Tbk.,2018-09-18,16883595500.0,Pengembangan,Properties & Real Estate,PANI.JK
PANR,Panorama Sentrawisata Tbk.,2001-09-18,1387500000.0,Utama,Consumer Cyclicals,PANR.JK
PANS,Panin Sekuritas Tbk.,2000-05-31,720000000.0,Utama,Financials,PANS.JK
PART,Cipta Perdana Lancar Tbk.,2024-07-05,2720000000.0,Pengembangan,Consumer Cyclicals,PART.JK
PBID,Panca Budi Idaman Tbk.,2017-12-13,7500000000.0,Utama,Basic Materials,PBID.JK
PBRX,Pan Brothers Tbk.,1990-08-16,21482028246.0,Pemantauan Khusus,Consumer Cyclicals,PBRX.JK
PBSA,Paramita Bangun Sarana Tbk.,2016-09-28,3000000000.0,Pengembangan,Infrastructure,PBSA.JK
PCAR,Prima Cakrawala Abadi Tbk.,2017-12-29,1166666700.0,Pengembangan,Consumer Non-Cyclicals,PCAR.JK
PDES,Destinasi Tirta Nusantara Tbk,2008-07-08,715000000.0,Pengembangan,Consumer Cyclicals,PDES.JK
PDPP,Primadaya Plastisindo Tbk.,2022-11-09,3061341438.0,Pengembangan,Basic Materials,PDPP.JK
PEGE,Panca Global Kapital Tbk.,2005-06-24,2833417056.0,Pengembangan,Financials,PEGE.JK
PEHA,Phapros Tbk.,2018-12-26,840000000.0,Pengembangan,Healthcare,PEHA.JK
PEVE,Penta Valent Tbk.,2023-01-24,1765625000.0,Pengembangan,Healthcare,PEVE.JK
PGAS,Perusahaan Gas Negara Tbk.,2003-12-15,24241508196.0,Utama,Energy,PGAS.JK
PGEO,Pertamina Geothermal Energy Tb,2023-02-24,41508024149.0,Utama,Infrastructure,PGEO.JK
PGJO,Bahtera Bumi Raya Tbk,2020-01-08,772459095.0,Akselerasi,Technology,PGJO.JK
PGLI,Pembangunan Graha Lestari Inda,2000-04-05,488000000.0,Pengembangan,Consumer Cyclicals,PGLI.JK
PGUN,Pradiksi Gunatama Tbk.,2020-07-07,5737848882.0,Pemantauan Khusus,Consumer Non-Cyclicals,PGUN.JK
PICO,Pelangi Indah Canindo Tbk,1996-09-23,568375000.0,Pengembangan,Basic Materials,PICO.JK
PIPA,Multi Makmur Lemindo Tbk.,2023-04-10,3425031863.0,Pemantauan Khusus,Industrials,PIPA.JK
PJAA,Pembangunan Jaya Ancol Tbk.,2004-07-02,1599999996.0,Pengembangan,Consumer Cyclicals,PJAA.JK
PKPK,Perdana Karya Perkasa Tbk,2007-07-11,1200000000.0,Pengembangan,Energy,PKPK.JK
PLAN,Planet Properindo Jaya Tbk.,2020-09-15,896709596.0,Akselerasi,Consumer Cyclicals,PLAN.JK
PLAS,Polaris Investama Tbk,2001-03-16,1184200000.0,Pemantauan Khusus,Financials,PLAS.JK
PLIN,Plaza Indonesia Realty Tbk.,1992-06-15,3550000000.0,Pemantauan Khusus,Properties & Real Estate,PLIN.JK
PMJS,Putra Mandiri Jembar Tbk.,2019-12-18,13755600000.0,Pengembangan,Consumer Cyclicals,PMJS.JK
PMMP,Panca Mitra Multiperdana Tbk.,2020-12-18,2588300000.0,Pengembangan,Consumer Non-Cyclicals,PMMP.JK
PNBN,Bank Pan Indonesia Tbk,1982-12-29,23837645998.0,Utama,Financials,PNBN.JK
PNBS,Bank Panin Dubai Syariah Tbk.,2014-01-15,38425504906.0,Pengembangan,Financials,PNBS.JK
PNGO,Pinago Utama Tbk.,2020-08-31,781250000.0,Pengembangan,Consumer Non-Cyclicals,PNGO.JK
PNIN,Paninvest Tbk.,1983-09-20,4068323920.0,Utama,Financials,PNIN.JK
PNLF,Panin Financial Tbk.,1983-06-14,32022073293.0,Utama,Financials,PNLF.JK
PNSE,Pudjiadi & Sons Tbk.,1990-05-01,797813496.0,Pengembangan,Consumer Cyclicals,PNSE.JK
POLA,Pool Advista Finance Tbk.,2018-11-16,3351075600.0,Pemantauan Khusus,Financials,POLA.JK
POLI,Pollux Hotels Group Tbk.,2019-01-10,2010526400.0,Pemantauan Khusus,Properties & Real Estate,POLI.JK
POLL,Pollux Properties Indonesia Tb,2018-07-11,8318823600.0,Pengembangan,Properties & Real Estate,POLL.JK
POLU,Golden Flower Tbk.,2019-06-26,750000000.0,Pengembangan,Consumer Cyclicals,POLU.JK
POLY,Asia Pacific Fibers Tbk,1991-03-12,2495753334.0,Pemantauan Khusus,Consumer Cyclicals,POLY.JK
POOL,Pool Advista Indonesia Tbk.,1991-05-20,2341366264.0,Pemantauan Khusus,Financials,POOL.JK
PORT,Nusantara Pelabuhan Handal Tbk,2017-03-16,2813941985.0,Pengembangan,Infrastructure,PORT.JK
POSA,Bliss Properti Indonesia Tbk.,2019-05-10,8388870206.0,Pemantauan Khusus,Properties & Real Estate,POSA.JK
POWR,Cikarang Listrindo Tbk.,2016-06-14,16087156000.0,Utama,Infrastructure,POWR.JK
PTPP,PP (Persero) Tbk.,2010-02-09,6199897354.0,Utama,Infrastructure,PTPP.JK
PPGL,Prima Globalindo Logistik Tbk.,2020-07-20,771178020.0,Akselerasi,Transportation & Logistics,PPGL.JK
PPRE,PP Presisi Tbk.,2017-11-24,10224271000.0,Pengembangan,Infrastructure,PPRE.JK
PPRI,Paperocks Indonesia Tbk.,2023-08-08,1075027288.0,Pengembangan,Basic Materials,PPRI.JK
PPRO,PP Properti Tbk.,2015-05-19,61675671883.0,Pemantauan Khusus,Properties & Real Estate,PPRO.JK
PRAS,Prima Alloy Steel Universal Tb,1990-07-12,701043478.0,Pemantauan Khusus,Consumer Cyclicals,PRAS.JK
PRAY,Famon Awal Bros Sedaya Tbk.,2022-11-08,13959422300.0,Pengembangan,Healthcare,PRAY.JK
PRDA,Prodia Widyahusada Tbk.,2016-12-07,937500000.0,Utama,Healthcare,PRDA.JK
PRIM,Royal Prima Tbk.,2018-05-15,3393434905.0,Pengembangan,Healthcare,PRIM.JK
PTPS,Pulau Subur Tbk.,2023-10-09,2167514856.0,Pengembangan,Consumer Non-Cyclicals,PTPS.JK
PSAB,J Resources Asia Pasifik Tbk.,2003-04-22,26460000000.0,Pengembangan,Basic Materials,PSAB.JK
PSDN,Prasidha Aneka Niaga Tbk,1994-10-18,1440000000.0,Pengembangan,Consumer Non-Cyclicals,PSDN.JK
PSGO,Palma Serasih Tbk.,2019-11-25,18850000000.0,Utama,Consumer Non-Cyclicals,PSGO.JK
PSKT,Red Planet Indonesia Tbk.,1995-09-19,10351231636.0,Pemantauan Khusus,Consumer Cyclicals,PSKT.JK
PSSI,IMC Pelita Logistik Tbk.,2017-12-05,5417063153.0,Utama,Energy,PSSI.JK
PUDP,Pudjiadi Prestige Tbk.,1994-11-18,659120000.0,Utama,Properties & Real Estate,PUDP.JK
PURA,Putra Rajawali Kencana Tbk.,2020-01-29,6301930902.0,Pemantauan Khusus,Transportation & Logistics,PURA.JK
PURE,Trinitan Metals and Minerals T,2019-10-09,1375181505.0,Pemantauan Khusus,Basic Materials,PURE.JK
PURI,Puri Global Sukses Tbk.,2020-09-08,1000000000.0,Pengembangan,Properties & Real Estate,PURI.JK
PTPW,Pratama Widya Tbk.,2020-02-07,878187500.0,Pengembangan,Infrastructure,PTPW.JK
PWON,Pakuwon Jati Tbk.,1989-10-09,48159602400.0,Utama,Properties & Real Estate,PWON.JK
PYFA,Pyridam Farma Tbk,2001-10-16,11236680171.0,Pengembangan,Healthcare,PYFA.JK
PZZA,Sarimelati Kencana Tbk.,2018-05-23,3021875000.0,Pengembangan,Consumer Cyclicals,PZZA.JK
RAAM,Tripar Multivision Plus Tbk.,2023-05-08,6813620000.0,Utama,Consumer Cyclicals,RAAM.JK
RAFI,Sari Kreasi Boga Tbk.,2022-08-05,3128140475.0,Pemantauan Khusus,Consumer Cyclicals,RAFI.JK
RAJA,Rukun Raharja Tbk.,2006-04-19,4227082500.0,Utama,Energy,RAJA.JK
